trade_id,direction,opened_at,closed_at,entry_price,exit_price,stop_price,target_price,pnl_usd,pnl_r,bars_held,exit_reason,outcome,composite_score,position_size_usd,r_amount
3cce3a56-a38a-4832-b918-dfb209002d39,LONG,2023-12-25T12:00:00+00:00,2023-12-26T05:00:00+00:00,43684.50,43239.67,43239.67,45018.99,-30.55,-1.0000,17,stop_loss,loss,0.68,3000.00,30.55
8799ae58-e8ad-43b6-b12f-5596c824dd37,LONG,2024-01-05T20:00:00+00:00,2024-01-07T22:00:00+00:00,43965.70,43965.70,43965.70,47905.56,0.00,0.0000,50,stop_loss,breakeven,0.67,2908.35,86.87
e994c650-8efe-456e-9441-85aa0aa834ec,LONG,2024-01-10T17:00:00+00:00,2024-01-10T20:00:00+00:00,46426.00,44789.60,44789.60,51335.19,-96.95,-1.0000,3,stop_loss,loss,0.72,2750.42,96.95
382f1785-d087-4065-a0ee-6f24c40e9379,LONG,2024-02-25T14:00:00+00:00,2024-02-25T16:00:00+00:00,51761.30,51414.86,51414.86,52800.61,-17.52,-1.0000,2,stop_loss,loss,0.75,2617.52,17.52
7f37b0f4-4a58-4089-8bfd-4ef958df0418,LONG,2024-05-05T00:00:00+00:00,2024-05-06T08:00:00+00:00,63488.20,64478.81,62454.59,66589.02,40.54,0.9709,32,trailing_stop,win,0.65,2564.96,41.76
3f56da77-0206-4efe-b64d-6eb5115118bc,LONG,2024-06-06T14:00:00+00:00,2024-06-06T19:00:00+00:00,71500.70,70791.47,70791.47,73628.40,-26.65,-1.0000,5,stop_loss,loss,0.76,2686.59,26.65
145f4c83-493c-4cec-aad3-71e964954d29,LONG,2024-07-13T22:00:00+00:00,2024-07-14T21:00:00+00:00,59457.10,60803.39,58689.52,61759.85,53.07,1.5770,23,trailing_stop,win,0.71,2606.64,33.65
52515539-85fd-4879-b34d-7522bcd89645,SHORT,2024-07-31T14:00:00+00:00,2024-07-31T20:00:00+00:00,66411.60,65152.16,67323.06,63677.22,52.80,1.3909,6,trailing_stop,win,0.78,2765.84,37.96
c2c55eb6-d00a-4683-a926-759dd15bbf04,SHORT,2024-10-01T13:00:00+00:00,2024-10-01T20:00:00+00:00,62834.80,60474.63,63621.52,60474.63,80.55,2.2000,7,target_reached,win,0.71,2924.24,36.61
cba33c6d-b965-434c-a0a7-db2d608df89b,LONG,2024-10-08T13:00:00+00:00,2024-10-08T14:00:00+00:00,63001.10,62164.27,62164.27,65511.60,-42.05,-1.0000,1,stop_loss,loss,0.77,3165.88,42.05
