trade_id,direction,opened_at,closed_at,entry_price,exit_price,stop_price,target_price,pnl_usd,pnl_r,bars_held,exit_reason,outcome,composite_score,position_size_usd,r_amount
278c865c-f4c5-4054-af2a-a4568104aa2e,SHORT,2023-12-12T13:00:00+00:00,2023-12-12T17:00:00+00:00,41844.50,41303.93,42537.99,39764.02,42.04,0.8456,4,trailing_stop,win,0.64,3000.00,49.72
c14deee0-5443-41f9-b893-8b2a54b0c0de,SHORT,2023-12-13T13:00:00+00:00,2023-12-13T16:00:00+00:00,41488.40,42143.29,42143.29,39523.73,-49.35,-1.0000,3,stop_loss,loss,0.62,3126.13,49.35
56fc7e95-964c-4f8a-af9a-e784d938f5dd,SHORT,2023-12-14T13:00:00+00:00,2023-12-14T17:00:00+00:00,42590.20,43431.10,43431.10,40067.49,-58.80,-1.0000,4,stop_loss,loss,0.65,2978.10,58.80
d84b7b03-c28c-49dd-958e-692dc5b92b41,SHORT,2023-12-18T10:00:00+00:00,2023-12-18T13:00:00+00:00,40845.90,41451.76,41451.76,39028.31,-41.56,-1.0000,3,stop_loss,loss,0.71,2801.70,41.56
57053ec4-afda-4bef-bb01-cf5df5169109,LONG,2023-12-18T21:00:00+00:00,2023-12-19T17:00:00+00:00,42648.30,41905.75,41905.75,44875.96,-18.64,-0.4000,20,stop_loss,loss,0.66,2677.03,46.61
44b03e1f-d270-4357-9836-c423f6cae097,LONG,2023-12-19T21:00:00+00:00,2023-12-20T13:00:00+00:00,42549.10,43314.56,41845.04,44661.28,46.02,1.0610,16,trailing_stop,win,0.71,2621.09,43.37
b3356a21-8310-4f67-ae5d-8b04aff0e22c,LONG,2023-12-25T12:00:00+00:00,2023-12-26T05:00:00+00:00,43684.50,43239.67,43239.67,45018.99,-28.10,-1.0000,17,stop_loss,loss,0.68,2759.15,28.10
15866eb4-6a12-444c-9100-cf7e5f4edf13,SHORT,2023-12-27T08:00:00+00:00,2023-12-27T10:00:00+00:00,42750.90,43247.43,43247.43,41261.30,-31.07,-1.0000,2,stop_loss,loss,0.62,2674.86,31.07
0bfa5083-9701-4fc0-b42f-afeeee31d5b6,SHORT,2023-12-27T11:00:00+00:00,2023-12-27T20:00:00+00:00,43072.70,43605.43,43605.43,41474.51,-31.93,-1.0000,9,stop_loss,loss,0.66,2581.66,31.93
2959eb36-84e1-4064-98ab-10e848a81923,LONG,2024-01-01T18:00:00+00:00,2024-01-01T23:00:00+00:00,43153.80,44008.40,42722.25,44448.44,42.02,1.6902,5,trailing_stop,win,0.62,2485.87,24.86
55c0bd52-f133-4c8a-abf5-27a53e15079c,LONG,2024-01-02T15:00:00+00:00,2024-01-03T11:00:00+00:00,45230.30,44389.34,44389.34,47753.17,-48.56,-1.0000,20,stop_loss,loss,0.65,2611.92,48.56
0c53a092-cee4-453e-bfc9-c782f502d04f,LONG,2024-01-05T20:00:00+00:00,2024-01-08T18:00:00+00:00,43965.70,46452.46,42652.41,47905.56,121.31,1.6468,70,trailing_stop,win,0.67,2466.23,73.67
948bdbd1-342c-4c1b-8c00-dc0d647987e1,LONG,2024-01-09T14:00:00+00:00,2024-01-09T21:00:00+00:00,46577.70,45550.21,45550.21,49660.18,-24.97,-0.4000,7,stop_loss,loss,0.65,2830.17,62.43
a1a5fa81-9827-4b6a-966b-37c3189d3bcb,LONG,2024-01-10T15:00:00+00:00,2024-01-11T14:00:00+00:00,45578.40,47902.21,44354.37,49250.48,122.03,1.6492,23,trailing_stop,win,0.66,2755.25,73.99
4ca44330-45bb-43a5-8c41-64d444ba7a9d,SHORT,2024-01-13T18:00:00+00:00,2024-01-18T19:00:00+00:00,42812.30,41395.73,43601.87,40443.59,91.94,1.5971,121,trailing_stop,win,0.74,3121.35,57.57
946a5597-5e67-4cb6-ae65-35cb73623456,SHORT,2024-01-19T14:00:00+00:00,2024-01-19T18:00:00+00:00,40973.20,41576.75,41576.75,39162.56,-20.02,-0.4000,4,stop_loss,loss,0.82,3397.16,50.04
2e71a2fa-7347-4888-8f5f-c5a013129c5e,SHORT,2024-01-24T01:00:00+00:00,2024-01-24T10:00:00+00:00,39763.00,40562.01,40562.01,37365.97,-67.06,-1.0000,9,stop_loss,loss,0.71,3337.11,67.06
714416ee-b56c-466a-8c49-82c1f76da2ff,LONG,2024-01-26T16:00:00+00:00,2024-01-29T16:00:00+00:00,41945.60,42694.12,41253.05,44023.26,54.71,1.0566,72,trailing_stop,win,0.64,3135.94,51.78
db69b1da-a189-4e02-b8b4-96e3c708c8db,LONG,2024-01-30T01:00:00+00:00,2024-01-30T23:00:00+00:00,43427.70,42833.76,42833.76,45209.53,-45.13,-1.0000,22,stop_loss,loss,0.65,3300.06,45.13
3a9b8bda-ec90-4470-a7e9-fbf5de9da8c2,LONG,2024-01-31T15:00:00+00:00,2024-01-31T20:00:00+00:00,43330.00,42679.40,42679.40,45281.80,-47.52,-1.0000,5,stop_loss,loss,0.69,3164.66,47.52
3fb55584-eba8-487d-bca7-c8c00a1301ff,LONG,2024-02-02T10:00:00+00:00,2024-02-02T13:00:00+00:00,43108.20,42622.54,42622.54,44565.17,-34.05,-1.0000,3,stop_loss,loss,0.74,3022.10,34.05
2a4dc814-0978-4682-846e-11a9cca3c4b4,LONG,2024-02-02T16:00:00+00:00,2024-02-04T19:00:00+00:00,43197.10,42615.75,42615.75,44941.15,-39.30,-1.0000,51,stop_loss,loss,0.64,2919.96,39.30
e57eb6bf-9459-4de5-9322-a094f8f810ee,LONG,2024-02-05T07:00:00+00:00,2024-02-05T15:00:00+00:00,43047.20,42610.73,42610.73,44356.62,-11.36,-0.4000,8,stop_loss,loss,0.66,2802.07,28.41
6c0d9c56-ff3b-4128-81fd-ba193ef52153,LONG,2024-02-07T20:00:00+00:00,2024-02-08T15:00:00+00:00,44108.90,45132.15,43564.21,45742.97,56.03,1.6393,19,trailing_stop,win,0.78,2767.98,34.18
e09182dc-7d8d-4fd2-946d-018f6d802f59,LONG,2024-02-09T11:00:00+00:00,2024-02-11T03:00:00+00:00,47163.80,48053.98,46477.06,49224.03,57.63,1.3481,40,trailing_stop,win,0.67,2936.08,42.75
51ba909a-de9e-481b-9a40-08d2b98df3d0,LONG,2024-02-12T06:00:00+00:00,2024-02-12T15:00:00+00:00,48163.10,49943.37,47569.68,49943.37,84.27,2.2000,9,target_reached,win,0.66,3108.98,38.31
0c3bfad4-719e-44e9-bf99-4872506453c2,LONG,2024-02-13T17:00:00+00:00,2024-02-14T08:00:00+00:00,48861.40,50196.28,47734.95,52240.74,87.54,1.1295,15,trailing_stop,win,0.77,3361.80,77.50
a2828bd9-2319-440e-a191-d3b583751a0d,LONG,2024-02-15T14:00:00+00:00,2024-02-15T15:00:00+00:00,52656.40,51810.65,51810.65,55193.65,-58.21,-1.0000,1,stop_loss,loss,0.64,3624.42,58.21
6d726f2b-68b9-4658-a54e-f630b2883e15,LONG,2024-02-19T06:00:00+00:00,2024-02-19T16:00:00+00:00,52439.20,51909.44,51909.44,54028.47,-34.85,-1.0000,10,stop_loss,loss,0.57,3449.78,34.85
3b788616-9f3a-4791-b2b6-d2de18029705,LONG,2024-02-20T10:00:00+00:00,2024-02-20T15:00:00+00:00,52157.40,51584.59,51584.59,53875.84,-14.70,-0.4000,5,stop_loss,loss,0.57,3345.23,36.74
c3efbf77-c06d-4a4c-929c-a9e1f19067bf,LONG,2024-02-25T14:00:00+00:00,2024-02-25T16:00:00+00:00,51761.30,51414.86,51414.86,52800.61,-22.09,-1.0000,2,stop_loss,loss,0.71,3301.14,22.09
a0155b2e-97ee-4919-8679-5016adf9ce29,LONG,2024-02-28T07:00:00+00:00,2024-02-28T13:00:00+00:00,58330.00,59851.97,57317.16,61368.53,81.52,1.4513,6,trailing_stop,win,0.66,3234.86,56.17
f4adb6a8-1576-4bb8-b433-5b586542f1d9,LONG,2024-02-28T16:00:00+00:00,2024-02-28T17:00:00+00:00,62534.00,60502.61,60502.61,68628.17,-113.03,-1.0000,1,stop_loss,loss,0.62,3479.42,113.03
81c42a16-5cbc-4e18-a399-ff3fdb662942,LONG,2024-02-29T16:00:00+00:00,2024-03-04T08:00:00+00:00,62250.10,64437.06,60250.35,68249.34,107.49,1.0655,88,trailing_stop,win,0.60,3140.34,100.88
c2c26cc7-b12e-4e06-93f3-0711b28a4d6d,LONG,2024-03-04T14:00:00+00:00,2024-03-05T04:00:00+00:00,66257.10,67404.26,64837.24,70516.67,64.23,0.8656,14,trailing_stop,win,0.80,3462.82,74.21
2f651b07-3934-4045-8abb-ce8d2e662971,LONG,2024-03-08T06:00:00+00:00,2024-03-08T16:00:00+00:00,67648.50,66489.86,66489.86,71124.42,12.52,0.2000,10,stop_loss,win,0.64,3655.51,62.61
06c99281-35a4-417e-858e-7d1a3bdff9e6,LONG,2024-03-10T04:00:00+00:00,2024-03-10T14:00:00+00:00,69484.10,68677.85,68677.85,71902.86,-42.85,-1.0000,10,stop_loss,loss,0.61,3693.07,42.85
e5488c82-7bb9-42a5-99c3-c6e0776ab061,LONG,2024-03-11T03:00:00+00:00,2024-03-11T07:00:00+00:00,68643.10,70518.23,67489.39,72104.24,90.62,1.5127,4,trailing_stop,win,0.67,3564.52,59.91
c40ef058-d146-466d-adb7-5210daf6dece,LONG,2024-03-12T03:00:00+00:00,2024-03-12T16:00:00+00:00,71679.80,70392.64,70392.64,75541.27,-27.56,-0.4000,13,stop_loss,loss,0.58,3836.39,68.89
